model,mean_r2,std_r2
1. Mean baseline,-0.0024934374231643,0.0026810001508889
2. X0 group-mean baseline,0.5869640311472532,0.0320653018027371
3. Ridge (one-hot + binaries),0.5621039402094402,0.0366833330959061
"4. XGBoost (default params, cleaned data)",0.5031082346218286,0.024913455165044802
